english,engtrans,arabic,hindi,urdu,cue
"إِلٰهِي إِنَّ جُودَكَ بَسَطَ امَلِي","It is my thanks to You that have granted approval for my deeds.","wa shukraka qabila `amalee",,,
"وَشُكْرَكَ قَبِلَ عَمَلِي","O my Master, for You do I desire,","sayyidee ilayka raghbatee",,,
"سَيِّدِي إِلَيْكَ رَغْبَتِي","You do I fear,","wa ilayka rahbatee",,,
"وَإِلَيْكَ رَهْبَتِي","and to You do I look forward.","wa ilayka ta'meelee",,,
"وَإِلَيْكَ تَامِيلِي","It is my hope that has driven me towards You.","wa qad saqanee ilayka amalee",,,
"وَقَدْ سَاقَنِي إِلَيْكَ امَلِي","To You, O my One and Only God, do I direct my determination.","wa `alayka ya wahidee `akaftu himmatee",,,
"وَعَلَيْكَ يَا وَاحِدِي عَكَفَتْ هِمَّتِي","Towards what You have in possession are my desires directed.","wa feema `indaka inbasatat raghbatee",,,
"وَفِيمَا عِنْدَكَ ٱنْبَسَطَتْ رَغْبَتِي","For You is the ultimate of my hope and fear.","wa laka khali¥u raja'ee wa khawfee",,,
"وَلَكَ خَالِصُ رَجَائِي وَخَوْفِي","With You have I become familiar.","wa bika anisat mahabbatee",,,
"وَبِكَ انِسَتْ مَحَبَّتِي","To You have I submitted my hand.","wa ilayka alqaytu biyadee",,,
"وَإِلَيْكَ الْقَيْتُ بِيَدِي","To the rope of obedience to You have I extended my fears.","wa bihabli ta`atika madadtu rahbatee",,,
"وَبِحَبْلِ طَاعَتِكَ مَدَدْتُ رَهْبَتِي","O my Master, only through mentioning You have my heart lived.","ya mawlaya bidhikrika `asha qalbee",,,
"يَا مَوْلايَ بِذِكْرِكَ عَاشَ قَلْبِي","Only through my confidential conversations with You have I cooled the pains of my fear.","wa bimunajatika barradtu alama alkhawfi `annee",,,
"وَبِمُنَاجَاتِكَ بَرَّدْتُ الَمَ ٱلْخَوْفِ عَنِّي","So, O my Master! O my Trusty Patron! O Ultimate Hope!","faya mawlaya wa ya mu'ammalee wa ya muntaha su'lee",,,
"فَيَا مَوْلايَ وَيَا مُؤَمَّلِي وَيَا مُنْتَهَىٰ سُؤْلِي","Separate me from my transgressions which prevent me from adhering to the obedience to You.","farriq baynee wa bayna dhanbiya almani`i lee min luzumi ta`atika",,,
"فَرِّقْ بَيْنِي وَبَيْنَ ذَنْبِيَ ٱلْمَانِعِ لِي مِنْ لُزُومِ طَاعَتِكَ","I only pray You on account of my eternal faith in You","fa'innama as'aluka liqadeemi alrraja'i feeka",,,
"فَإِنَّمَا اسْالُكَ لِقَدِيمِ ٱلرَّجَاءِ فِيكَ","and my desire for Your mercy and kindness","wa `a¨eemi alttama`i minka",,,
"وَعَظِيمِ ٱلطَّمَعِ مِنْكَ","that You have made incumbent upon Yourself.","alladhee awjabtahu `ala nafsika min alrra'fati walrrahmati",,,
"ٱلَّذِي اوْجَبْتَهُ عَلَىٰ نَفْسِكَ مِنَ ٱلرَّافَةِ وَٱلرَّحْمَةِ","So, the whole affair is Yours alone. There is no partner with You at all.","fal-amru laka wahdaka la shareeka laka",,,
"فَٱلامْرُ لَكَ وَحْدَكَ لاَ شَرِيكَ لَكَ","All the creatures are dependent upon You and are in Your grip.","walkhalqu kulluhum `iyaluka wa fee qabatika",,,
"وَٱلْخَلْقُ كُلُّهُمْ عِيَالُكَ وَفِي قَبْضَتِكَ","All things are submissive to You.","wa kullu shay'in khai`un laka",,,
"وَكُلُّ شَيْءٍ خَاضِعٌ لَكَ","Blessed be You, O Lord of the worlds.","tabarakta ya rabba al`alameena",,,
"تَبَارَكْتَ يَا رَبَّ ٱلْعَالَمِينَ","O my God, have mercy on me when my argument is proven nil,","ilahee irhamnee idha inqata`at hujjatee",,,
"إِلٰهِي ٱرْحَمْنِي إِذَا ٱنْقَطَعَتْ حُجَّتِي","when my tongue can no longer find any answer,","wa kalla `an jawabika lisanee",,,
"وَكَلَّ عَنْ جَوَابِكَ لِسَانِي","and when my mind scatters as soon as You start interrogating me.","wa tasha `inda su'alika iyyaya lubbee",,,
"وَطَاشَ عِنْدَ سُؤَالِكَ إِيَّايَ لُبِّي","So, O my great hope, do not forsake me when my need terribly increases,","faya `a¨eema raja'ee la tukhayyibnee idha ishtaddat faqatee",,,
"فَيَا عَظِيمَ رَجَائِي لاَ تُخَيِّبْنِي إِذَا ٱشْتَدَّتْ فَاقَتِي","do not reject me on account of my ignorance,","wa la taruddanee lijahlee",,,
"وَلاَ تَرُدَّنِي لِجَهْلِي","and do not stop conferring upon me on account of my lack of patience.","wa la tamna`nee liqillati ¥abree",,,
"وَلاَ تَمْنَعْنِي لِقِلَّةِ صَبْرِي","Grant me for I am poor.","a`tinee lifaqree",,,
"اعْطِنِي لِفَقْرِي","Have mercy upon me for I am weak.","warhamnee lia`fee",,,
"وَٱرْحَمْنِي لِضَعْفِي","O my Master, on You do I rely and lean.","sayyidee `alayka mu`tamadee wa mu`awwalee",,,
"سَيِّدِي عَلَيْكَ مُعْتَمَدِي وَمُعَوَّلِي","You are my hope, and in You do I have faith.","wa raja'ee wa tawakkulee",,,
"وَرَجَائِي وَتَوَكُّلِي","To Your mercy do I attach myself.","wa birahmatika ta`alluqee",,,
"وَبِرَحْمَتِكَ تَعَلُّقِي","In Your courtyard do I dwell.","wa bifina'ika ahuttu rahlee",,,
"وَبِفِنَائِكَ احُطُّ رَحْلِي","On account of Your benevolence do I declare my request.","wa bijudika aq¥idu talibatee",,,
"وَبِجُودِكَ اقْصِدُ طَلِبَتِي","With Your generosity, O my Lord, do I begin my prayers.","wa bikaramika ay rabbi astaftihu du`a'ee",,,
"وَبِكَرَمِكَ ايْ رَبِّ اسْتَفْتِحُ دُعَائِي","With You do I desire for meeting my needs.","wa ladayka arju faqatee",,,
"وَلَدَيْكَ ارْجُو فَاقَتِي","Through Your wealth do I settle my poverty.","wa bighinaka ajburu `aylatee",,,
"وَبِغِنَاكَ اجْبُرُ عَيْلَتِي","Under the shade of Your pardon do I stand.","wa tahta ¨illi `afwika qiyamee",,,
"وَتَحْتَ ظِلِّ عَفْوِكَ قِيَامِي","Towards Your benevolence and generosity do I raise my sight.","wa ila judika wa karamika arfa`u ba¥aree",,,
"وَإِلَىٰ جُودِكَ وَكَرَمِكَ ارْفَعُ بَصَرِي","I persistently look for Your favors;","wa ila ma`rufika udeemu na¨aree",,,
"وَإِلَىٰ مَعْرُوفِكَ ادِيمُ نَظَرِي","so, do not let the flames of the Fire consume me while You are my ultimate hope,","fala tuhriqnee bilnnari wa anta mawi`u amalee",,,
"فَلاَ تُحْرِقْنِي بِٱلنَّارِ وَانْتَ مَوْضِعُ امَلِي","and do not embed me in the deep black abyss while You are the delight of my eyes.","wa la tuskinnee alhawiyata fa'innaka qurratu `aynee",,,
"وَلاَ تُسْكِنِّي ٱلْهَاوِيَةَ فَإِنَّكَ قُرَّةُ عَيْنِي","O my Master, do not thwart my idea about Your grace and favors,","ya sayyidee la tukadhdhib ¨annee bi'ihsanika wa ma`rufika",,,
"يَا سَيِّدِي لاَ تُكَذِّبْ ظَنِّي بِإِحْسَانِكَ وَمَعْرُوفِكَ","for in You I trust.","fa'innaka thiqatee",,,
"فَإِنَّكَ ثِقَتِي","Do not deprive me of Your rewards,","wa la tahrimnee thawabaka",,,
"وَلاَ تَحْرِمْنِي ثَوَابَكَ","for You best know my poverty.","fa'innaka al`arifu bifaqree",,,
"فَإِنَّكَ ٱلْعَارِفُ بِفَقْرِي","O my God, if my death is drawing near while my deeds have not yet drawn me near You,","ilahee in kana qad dana ajalee wa lam yuqarribnee minka `amalee",,,
"إِلٰهِي إِنْ كَانَ قَدْ دَنَا اجَلِي وَلَمْ يُقَرِّبْنِي مِنْكَ عَمَلِي","then let my confession of having committed sins be my means of justification.","faqad ja`altu ali`tirafa ilayka bidhanbee wasa'ila `ilalee",,,
"فَقَدْ جَعَلْتُ ٱلإِعْتِرَافَ إِلَيْكَ بِذَنْبِي وَسَائِلَ عِلَلِي","O my God, if You forgive, then who is worthier than You in forgiveness?","ilahee in `afawta faman awla minka bil`afwi",,,
"إِلٰهِي إِنْ عَفَوْتَ فَمَنْ اوْلَىٰ مِنْكَ بِٱلْعَفْوِ","And if You punish, then who is fairer than You in judgment?","wa in `adhdhabta faman a`dalu minka fee allhukmi",,,
"وَإِنْ عَذَّبْتَ فَمَنْ اعْدَلُ مِنْكَ فِي ٱلْحُكْمِ","Have mercy on my misery in this world,","irham fee hadhihee alddunya ghurbatee",,,
"ٱرْحَمْ فِي هٰذِهِ ٱلدُّنْيَا غُرْبَتِي","on my grief at the time of death,","wa `inda almawti kurbatee",,,
"وَعِنْدَ ٱلْمَوْتِ كُرْبَتِي","on my loneliness in the grave,","wa fee alqabri wahdatee",,,
"وَفِي ٱلْقَبْرِ وَحْدَتِي","on my lonesomeness in the underground hole,","wa fee allahdi wahshatee",,,
"وَفِي ٱللَّحْدِ وَحْشَتِي","and on my humiliating situation when I shall be resurrected for account before You.","wa idha nushirtu lilhisabi bayna yadayka dhulla mawqifee",,,
"وَإِذَا نُشِرْتُ لِلْحِسَابِ بَيْنَ يَدَيْكَ ذُلَّ مَوْقِفِي","Forgive my deeds that have been concealed from the other human beings,","waghfir lee ma khafiya `ala al-adamiyyeena min `amalee",,,
"وَٱغْفِرْ لِي مَا خَفِيَ عَلَىٰ ٱلآدَمِيِّينَ مِنْ عَمَلِي","make permanent for me that on account of which You have covered my faults,","wa adim lee ma bihee satartanee",,,
"وَادِمْ لِي مَا بِهِ سَتَرْتَنِي","have mercy on me when I am thrown on the death bed turned over at the hands of my dear ones,","warhamnee ¥aree`an `ala alfirashi tuqallibunee aydee ahibbatee",,,
"وَٱرْحَمْنِي صَرِيعاً عَلَىٰ ٱلْفِرَاشِ تُقَلِّبُنِي ايْدِي احِبَّتِي","do a favor to me when I am laid on the table of the dead bathroom turned over at the hands of my righteous neighbors,","wa tafaal `alayya mamdudan `ala almughtasali yuqallibunee ¥alihu jeeratee",,,
"وَتَفَضَّلْ عَلَيَّ مَمْدُوداً عَلَىٰ ٱلْمُغْتَسَلِ يُقَلِّبُنِي صَالِحُ جِيرَتِي","act kindly towards me when I am carried while my relatives hold the edges of my coffin,","wa tahannan `alayya mahmulan qad tanawala al-aqriba'u atrafa janazatee",,,
"وَتَحَنَّنْ عَلَيَّ مَحْمُولاً قَدْ تَنَاوَلَ ٱلاقْرِبَاءُ اطْرَافَ جِنَازَتِي","be generous with me when I am carried, alone, to my hole,","wa jud `alayya manqulan qad nazaltu bika waheedan fee hufratee",,,
"وَجُدْ عَلَيَّ مَنْقُولاً قَدْ نَزَلْتُ بِكَ وَحِيداً فِي حُفْرَتِي","have mercy on my loneliness in that (new) dwelling so that I will not feel at ease with anyone other than You.","warham fee dhalika albayti aljadeedi ghurbatee hatta la asta'nisa bighayrika",,,
"وَٱرْحَمْ فِي ذٰلِكَ  ٱلْبَيْتِ ٱلْجَدِيدِ غُرْبَتِي حَتَّىٰ لاَ اسْتَانِسَ بِغَيْرِكَ","O my Master, if You leave me for myself, I will certainly perish.","ya sayyidee in wakaltanee ila nafsee halaktu",,,
"يَا سَيِّدِي إِنْ وَكَلْتَنِي إِلَىٰ نَفْسِي هَلَكْتُ","O my Master, to whom will I resort if You do not overlook my slips?","sayyidee fabiman astagheethu in lam tuqilnee `athratee",,,
"سَيِّدِي فَبِمَنْ اسْتَغِيثُ إِنْ لَمْ تُقِلْنِي عَثْرَتِي","To whom will I run for help if I miss Your care for me in my stay (in grave)?","fa'ila man afza`u in faqadtu `inayataka fee aj`atee",,,
"فَإِلَىٰ مَنْ افْزَعُ إِنْ فَقَدْتُ عِنَايَتَكَ فِي ضَجْعَتِي","To whom will I refer if You do not relieve my grief?","wa'ila man altaji'u in lam tunaffis kurbatee",,,
"وَإِلَىٰ مَنْ الْتَجِئُ إِنْ لَمْ تُنَفِّسْ كُرْبَتِي","O my Master! Who will be with me?","sayyidee man lee",,,
"سَيِّدِي مَنْ لِي","Who will have mercy on me if You do not?","wa man yarhamunee in lam tarhamnee",,,
"وَمَنْ يَرْحَمُنِي إِنْ لَمْ تَرْحَمْنِي","Whose favor will I expect if I miss Your favors on the day of my neediness?","wa fala man u'ammilu in `adimtu falaka yawma faqatee",,,
"وَفَضْلَ مَنْ اؤَمِّلُ إِنْ عَدِمْتُ فَضْلَكَ يَوْمَ فَاقَتِي","To whom will I flee from my sins when my deadline comes?","wa'ila man alfararu min aldhdhunubi idha inqaa ajalee",,,
"وَإِلَىٰ مَنِ ٱلْفِرَارُ مِنَ ٱلذُّنُوبِ إِذَا ٱنْقَضَىٰ اجَلِي","O my Master, do not punish me while I please You hopefully.","sayyidee la tu`adhdhibnee wa ana arjuka",,,
"سَيِّدِي لاَ تُعَذِّبْنِي وَانَا ارْجُوكَ","O my God, (please do) give success to my expectations","ilahee haqqiq raja'ee",,,
"إِلٰهِي حَقِّقْ رَجَائِي","and dispel my fear.","wa amin khawfee",,,
"وَآمِنْ خَوْفِي","As for my numerous sins, I hope for nothing other than Your pardon.","fa'inna kathrata dhunubee la arju feeha illa `afwaka",,,
"فَإِنَّ كَثْرَةَ ذُنُوبِي لاَ ارْجُو فِيهَا إِلاَّ عَفْوَكَ","O my Master, I am asking You for things that I do not deserve","sayyidee ana as'aluka ma la astahiqqu",,,
"سَيِّدِي انَا اسْالُكَ مَا لاَ اسْتَحِقُّ","and You are verily the worthiest of being feared and the worthiest of forgiving.","wa anta ahlu alttaqwa wa ahlu almaghfirati",,,
"وَانْتَ اهْلُ ٱلتَّقْوَىٰ وَاهْلُ ٱلْمَغْفِرَةِ","So, forgive me and dress me, out of Your relief, a garment covering all my defects,","faghfir lee wa albisnee min na¨arika thawban yughattee `alayya alttabi`ati",,,
"فَٱغْفِرْ لِي وَالْبِسْنِي مِنْ نَظَرِكَ ثَوْباً يُغَطِّي عَلَيَّ ٱلتَّبِعَاتِ","and forgive them for me so that I will not be responsible for them.","wa taghfiruha lee wa la utalabu biha",,,
"وَتَغْفِرُهَا لِي وَلاَ اطَالَبُ بِهَا","Verily, You are the Lord of eternal favoring,","innaka dhu mannin qadeemin",,,
"إِنَّكَ ذُو مَنٍّ قَدِيمٍ","great pardon,","wa ¥afhin `a¨eemin",,,
"وَصَفْحٍ عَظِيمٍ","and liberal exoneration.","wa tajawuzin kareemin",,,
"وَتَجَاوُزٍ كَرِيمٍ","O my God, You make Your flowing graces reach those who never pray You","ilahee anta alladhee tufeeu saybaka `ala man la yas'aluka",,,
"إِلٰهِي انْتَ ٱلَّذِي تُفِيضُ سَيْبَكَ عَلَىٰ مَنْ لاَ يَسْالُكَ","and those who deny Your Lordship.","wa `ala aljahideena birububiyyatika",,,
"وَعَلَىٰ ٱلْجَاحِدِينَ بِرُبُوْبِيَّتِكَ","So, O my Master, what should You do to those who pray You and believe undoubtedly that You manage all creation and all affairs!","fakayfa sayyidee biman sa'alaka wa ayqana anna alkhalqa laka wal-amra ilayka",,,
"فَكَيْفَ سَيِّدِي بِمَنْ سَالَكَ وَايْقَنَ انَّ ٱلْخَلْقَ لَكَ وَٱلامْرَ إِلَيْكَ","Blessed by You and Exalted be You, O Lord of the worlds!","tabarakta wa ta`alayta ya rabba al`alameena",,,
"تَبَارَكْتَ وَتَعَالَيْتَ يَا رَبَّ ٱلْعَالَمِينَ","O my Master, I, Your servant, am standing at Your door owing to neediness,","sayyidee `abduka bibabika aqamat-hu alkha¥a¥atu bayna yadayka",,,
"سَيِّدِي عَبْدُكَ بِبَابِكَ اقَامَتْهُ ٱلْخَصَاصَةُ بَيْنَ يَدَيْكَ","am knocking at it suppliantly.","yaqra`u baba ihsanika bidu`a'ihee",,,
"يَقْرَعُ بَابَ إِحْسَانِكَ بِدُعَائِهِ","So, do not turn Your generous Face away from me.","fala tu`ri biwajhika alkareemi `annee",,,
"فَلاَ تُعْرِضْ بِوَجْهِكَ ٱلْكَرِيمِ عَنِّي","Accept that which I utter, for I have prayed using this supplication,","waqbal minnee ma aqulu faqad da`awtu bihadha alddu`a'i",,,
"وَٱقْبَلْ مِنِّي مَا اقُولُ فَقَدْ دَعَوْتُ بِهٰذَا ٱلدُّعَاءِ","hoping that You will not reject me since I have full awareness of Your kindness and mercifulness.","wa ana arju an la taruddanee ma`rifatan minnee bira'fatika wa rahmatika",,,
"وَانَا ارْجُو انْ لاَ تَرُدَّنِي مَعْرِفَةً مِنِّي بِرَافَتِكَ وَرَحْمَتِكَ","O my God, it is You Whom is never disturbed by any suppliant","ilahee anta alladhee la yuhfeeka sa'ilun",,,
"إِلٰهِي انْتَ ٱلَّذِي لاَ يُحْفِيكَ سَائِلٌ","and Whose kingdom is never decreased owing to donations.","wa la yanqu¥uka na'ilun",,,
"وَلاَ يَنْقُصُكَ نَائِلٌ","You are as exactly as You describe Yourself and is above all that which we say.","anta kama taqulu wa fawqa ma naqulu",,,
"انْتَ كَمَا تَقُولُ وَفَوْقَ مَا نَقُولُ","O Allah, I beseech You for comely patience,","allahumma innee as'aluka ¥abran jameelan",,,
"اَللَّهُمَّ إِنِّي اسْالُكَ صَبْراً جَمِيلاً","immediate relief,","wa farajan qareeban",,,
"وَفَرَجاً قَرِيباً","truthful wording,","wa qawlan ¥adiqan",,,
"وَقَوْلاً صَادِقاً","and splendid reward.","wa ajran `a¨eeman",,,
"وَاجْراً عَظِيماً","I pray You, O Lord, for all goodness,","as'aluka ya rabbi min alkhayri kullihee",,,
"اسْالُكَ يَا رَبِّ مِنَ ٱلْخَيْرِ كُلِّهِ","be it known by me or unknown.","ma `alimtu minhu wa ma lam a`lam",,,
"مَا عَلِمْتُ مِنْهُ وَمَا لَمْ اعْلَمْ","I pray You, O Allah, for the goodness that Your righteous servants have besought from You.","as'aluka allahumma min khayri ma sa'alaka minhu `ibaduka al¥¥alihuna",,,
"اسْالُكَ ٱللَّهُمَّ مِنْ خَيْرِ مَا سَالَكَ مِنْهُ عِبَادُكَ ٱلصَّالِحُونَ","O All-excellent One that is asked!","ya khayra man su'ila",,,
"يَا خَيْرَ مَنْ سُئِلَ","O most benevolent of those who may give!","wa ajwada man a`ta",,,
"وَاجْوَدَ مَنْ اعْطَىٰ","(Please do) respond to my request as regards myself, my family,","a`tinee su'lee fee nafsee wa ahlee",,,
"اعْطِنِي سُؤْلِي فِي نَفْسِي وَاهْلِي","my parents, my children,","wa walidayya wa wuldee",,,
"وَوَالِدَيَّ وَوُلْدِي","my comrades, and my brothers-in-faith.","wa ahli huzanatee wa ikhwanee feeka",,,
"وَاهْلِ حُزَانَتِي وَإِخْوَانِي فِيكَ","Bless my living,","wa arghid `ayshee",,,
"وَارْغِدْ عَيْشِي","manifest my integrity,","wa a¨hir muruwwatee",,,
"وَاظْهِرْ مُرُوَّتِي","set aright all my affairs,","wa a¥lih jamee`a ahwalee",,,
"وَاصْلِحْ جَمِيعَ احْوَالِي","and include me with those whom You decide to live long,","waj`alnee mimman atalta `umrahu",,,
"وَٱجْعَلْنِي مِمَّنْ اطَلْتَ عُمْرَهُ","whose deeds are righteous,","wa hassanta `amalahu",,,
"وَحَسَّنْتَ عَمَلَهُ","those for whom You have perfected Your favors, those with whom You are pleased,","wa atmamta `alayhi ni`mataka wa raeeta `anhu",,,
"وَاتْمَمْتَ عَلَيْهِ نِعْمَتَكَ وَرَضِيتَ عَنْهُ","and those whom You have granted comfortable life with permanent pleasure,","wa ahyaytahu hayatan tayyibatan fee adwami alssururi",,,
"وَاحْيَيْتَهُ حَيَاةً طَيِّبَةً فِي ادْوَمِ ٱلسُّرُورِ","reputable honor, and perfect contentment.","wa asbaghi alkaramati wa atammi al`ayshi",,,
"وَاسْبَغِ ٱلْكَرَامَةِ وَاتَمِّ ٱلْعَيْشِ","Verily, You do whatever You will,","innaka taf`alu ma tasha'u",,,
"إِنَّكَ تَفْعَلُ مَا تَشَاءُ","while none else can ever do what one wills.","wa la yaf`alu ma yasha'u ghayruka",,,
"وَلاَ يَفْعَلُ مَا يَشَاءُ غَيْرُكَ","O Allah, give me exclusively the grace of private mention of You,","allahumma khu¥¥anee minka bikha¥¥ati dhikrika",,,
"اَللَّهُمَّ خُصَّنِي مِنْكَ بِخَاصَّةِ ذِكْرِكَ","do not let any of the things by which I seek Your nearness","wa la taj`al shay'an mimma ataqarrabu bihee",,,
"وَلاَ تَجْعَلْ شَيْئاً مِمَّا اتَقَرَّبُ بِهِ","in the hours of the night and the ends of the days","fee ana'i allayli wa atrafee alnnahari",,,
"فِي آنَاءِ ٱللَّيْلِ وَاطْرَافِ ٱلنَّهَارِ","take the form of ostentation, showing off,","riya'an wa la sum`atan",,,
"رِيَاءً وَلاَ سُمْعَةً","pretension, or insolence.","wa la asharan wa la bataran",,,
"وَلاَ اشَراً وَلاَ بَطَراً","Include me with the humble ones.","waj`alnee laka min alkhashi`eena",,,
"وَٱجْعَلْنِي لَكَ مِنَ ٱلْخَاشِعِينَ","O Allah, grant me affluent means of livelihood,","allahumma a`tinee alssa`ata fee alrrizqi",,,
"اَللَّهُمَّ اعْطِنِي ٱلسَّعَةَ فِي ٱلرِّزْقِ","security in my homeland,","wal-amni fee alwatani",,,
"وَٱلامْنَ فِي ٱلْوَطَنِ","delight in my family, property, and children,","wa qurrata al`ayni fee al-ahli walmali walwaladi",,,
"وَقُرَّةَ ٱلْعَيْنِ فِي ٱلاهْلِ وَٱلْمَالِ وَٱلْوَلَدِ","permanence of Your graces,","walmuqama fee ni`amika `indee",,,
"وَٱلْمُقَامَ فِي نِعَمِكَ عِنْدِي","healthy body,","wal¥¥ihhata fee aljismi",,,
"وَٱلصِّحَّةَ فِي ٱلْجِسْمِ","strong physique,","walquwwata fee albadani",,,
"وَٱلْقُوَّةَ فِي ٱلْبَدَنِ","and sound faith.","walssalamata fee addeeni",,,
"وَٱلسَّلاَمَةَ فِي ٱلدِّينِ","Dedicate my affairs to the obedience to You and to Your Messenger,","wasta`milnee bita`atika wa ta`ati rasulika",,,
"وَٱسْتَعْمِلْنِي بِطَاعَتِكَ وَطَاعَةِ رَسُولِكَ","Muhammad—Allah’s blessings be upon him and his Household—as long as You give me life.","muhammadin ¥alla allahu `alayhi wa `ala alihee abadan ma ista`martanee",,,
"مُحَمَّدٍ صَلَّىٰ ٱللَّهُ عَلَيْهِ وَعَلَىٰ آلِهِ ابَداً مَا ٱسْتَعْمَرْتَنِي","Make me one of the most rewarded servants of You","waj`alnee min awfari `ibadika `indaka na¥eeban",,,
"وَٱجْعَلْنِي مِنْ اوْفَرِ عِبَادِكَ عِنْدَكَ نَصِيباً","in each and every item of goodness that You have descended and You will descend during the month of Ramaan","fee kulli khayrin anzaltahu wa tunziluhu fee shahri ramaana",,,
"فِي كُلِّ خَيْرٍ انْزَلْتَهُ وَتُنْزِلُهُ فِي شَهْرِ رَمَضَانَ","and at the Destiny Night","fee laylati alqadri",,,
"فِي لَيْلَةِ ٱلْقَدْرِ","as well as all that which You decide to descend throughout the year, including mercy that You spread,","wa ma anta munziluhu fee kulli sanatin min rahmatin tunshiruha",,,
"وَمَا انْتَ مُنْزِلُهُ فِي كُلِّ سَنَةٍ مِنْ رَحْمَةٍ تَنْشُرُهَا","good health with which You adorn,","wa `afiyatin tulbisuha",,,
"وَعَافِيَةٍ تُلْبِسُهَا","misfortune that You repel,","wa baliyyatin tadfa`uha",,,
"وَبَلِيَّةٍ تَدْفَعُهَا","good deeds that You admit,","wa hasanatin tataqabbaluha",,,
"وَحَسَنَاتٍ تَتَقَبَّلُهَا","and evildoings that You excuse.","wa sayyi'atin tatajawazu `anha",,,
"وَسَيِّئَاتٍ تَتَجَاوَزُ عَنْهَا","Bestow upon me with pilgrimage to Your Holy House in this year plus all years,","warzuqnee hajja baytika alharami fee `amina hadha wa fee kulli `amin",,,
"وَٱرْزُقْنِي حَجَّ بَيْتِكَ ٱلْحَرَامِ فِي عَامِنَا هٰذَا وَفِي كُلِّ عَامٍ","grant me prosperous sustenance out of Your limitless bounty,","warzuqnee rizqan wasi`an min falika alwasi`i",,,
"وَٱرْزُقْنِي رِزْقاً وَاسِعاً مِنْ فَضْلِكَ ٱلْوَاسِعِ","dismiss, O my Master, all evils from me,","wa¥rif `annee ya sayyidee al-aswa'a",,,
"وَٱصْرِفْ عَنِّي يَا سَيِّدِي ٱلاسْوَاءَ","help me settle my debts as well as my evildoings so that I will be saved from their liabilities,","waqi `annee alddayna wal¨¨ulamati hatta la ata'adhadha bishay'in minhu",,,
"وَٱقْضِ عَنِّي ٱلدَّيْنَ وَٱلظًُّلاَمَاتِ حَتَّىٰ لاَ اتَاذَّىٰ بِشَيْءٍ مِنْهُ","save me from the hearings and sights of my enemies, those who envy me, and those who intend to oppress me,","wa khudh `annee bi'asma`i wa'ab¥ari a`da'ee wa hussadee walbagheena `alayya",,,
"وَخُذْ عَنِّي بِاسْمَاعِ وَابْصَارِ اعْدَائِي وَحُسَّادِي وَٱلْبَاغِينَ عَلَيَّ","back me against them,","wan¥urnee `alayhim",,,
"وَٱنْصُرْنِي عَلَيْهِمْ","give delight to my eye and joy to my heart,","wa aqirra `aynee wa farrih qalbee",,,
"وَاقِرَّ عَيْنِي وَفَرِّحْ قَلْبِي","grant me relief and exit against my grief and misery,","waj`al lee min hammee wa karbee farajan wa makhrajan",,,
"وَٱجْعَلْ لِي مِنْ هَمِّي وَكَرْبِي فَرَجاً وَمَخْرَجاً","make all those who intend evil to me, among all Your creatures, be under my feet,","waj`al man aradanee bisu'in min jamee`i khalqika tahta qadamayya",,,
"وَٱجْعَلْ مَنْ ارَادَنِي بِسُوءٍ مِنْ جَمِيعِ خَلْقِكَ تَحْتَ قَدَمَيَّ","protect me against the evil of Satan,","wakfinee sharra alshshaytani",,,
"وَٱكْفِنِي شَرَّ ٱلشَّيْطَانِ","the evil of the ruling authority,","wa sharra alssultani",,,
"وَشَرَّ ٱلسُّلْطَانِ","and the consequences of my evildoings,","wa sayyi'ati `amalee",,,
"وَسَيِّئَاتِ عَمَلِي","purify me from all my sins,","wa tahhirnee min aldhdhunubi kulliha",,,
"وَطَهِّرْنِي مِنَ ٱلذُّنُوبِ كُلِّهَا","save me from Hellfire on account of Your pardon,","wa ajirnee min alnnari bi`afwika",,,
"وَاجِرْنِي مِنَ ٱلنَّارِ بِعَفْوِكَ","allow me to enter Paradise on account of Your mercy,","wa adkhilnee aljannata birahmatika",,,
"وَادْخِلْنِي ٱلْجَنَّةَ بِرَحْمَتِكَ","marry me off the Paradisiacal women on account of Your grace,","wa zawwijnee min alhuri al`eeni bifalika",,,
"وَزَوِّجْنِي مِنَ ٱلْحُورِ ٱلْعِينِ بِفَضْلِكَ","and join me to Your righteous intimate servants—Muhammad and his Household,","wa alhiqnee bi'awliya'aka al¥¥aliheena muhammadin wa alihee",,,
"وَالْحِقْنِي بِاوْلِيَائِكَ ٱلصَّالِحِينَ مُحَمَّدٍ وَآلِهِ","the purified, the immaculate, and the pious.","al-abrari alttayyibeena alttahireena al-akhyari",,,
"ٱلابْرَارِ ٱلطَّيِّبِينَ ٱلطَّاهِرِينَ ٱلاخْيَارِ","May Your peace, mercy, and blessings be upon their bodies and souls.","¥alawatuka `alayhim wa `ala ajsadihim wa arwahihim wa rahmatu allahi wa barakatuhu",,,
"صَلَوَاتُكَ عَلَيْهِمْ وَعَلَىٰ اجْسَادِهِمْ وَارْوَاحِهِمْ وَرَحْمَةُ ٱللَّهِ وَبَرَكَاتُهُ","O my God and my Master, I swear by Your Mighty and Your Glory,","ilahee wa sayyidee wa `izzatika wa jalalika",,,
"إِلٰهِي وَسَيِّدِي وَعِزَّتِكَ وَجَلالِكَ","if You will interrogate me for my sins, I will demand with Your pardon.","la'in talabtanee bidhunubee la'utalibannaka bi`afwika",,,
